Rank,url,College,Town
1061,/reviews/9107.htm,A.T. Still University,Kirksville ...
475,/reviews/6637.htm,Abilene Christian University,Abilene
1479,/reviews/16788.htm,Abraham Baldwin Agricultural College,Tifton
467,/reviews/4998.htm,Academy of Art University,San Francisco
984,/reviews/5171.htm,Adams State University,Alamosa
445,/reviews/6041.htm,Adelphi University,Garden City
1501,/reviews/5828.htm,Adler Graduate School,Minnetonka
1190,/reviews/5376.htm,Adler University,Chicago ...
1156,/reviews/5768.htm,Adrian College,Adrian
1424,/reviews/9132.htm,AdventHealth University,Orlando
504,/reviews/5307.htm,Agnes Scott College,Decatur
1435,/reviews/6268.htm,Air Force Institute of Technology,Wright-Patterson AFB
896,/reviews/4923.htm,Alabama A&M University,Huntsville
888,/reviews/4924.htm,Alabama State University,Montgomery
1650,/reviews/4956.htm,Alaska Bible College,Palmer
1149,/reviews/4957.htm,Alaska Pacific University,Anchorage
1605,/reviews/6042.htm,Albany College of Pharmacy and Health Sciences,Albany
1175,/reviews/6043.htm,Albany Law School,Albany
1023,/reviews/6044.htm,Albany Medical College,Albany
1103,/reviews/5308.htm,Albany State University,Albany
1522,/reviews/5205.htm,Albertus Magnus College,New Haven
643,/reviews/5769.htm,Albion College,Albion
1198,/reviews/6409.htm,Albright College,Reading
1357,/reviews/5868.htm,Alcorn State University,Lorman
1447,/reviews/6841.htm,Alderson Broaddus University,Philippi
1000,/reviews/6167.htm,Alfred State College,Alfred
571,/reviews/6045.htm,Alfred University,Alfred
1390,/reviews/5587.htm,Alice Lloyd College,Pippa Passes
713,/reviews/6410.htm,Allegheny College,Meadville
1682,/reviews/16790.htm,Allen College,Waterloo
1694,/reviews/6534.htm,Allen University,Columbia
831,/reviews/7276.htm,Alliant International University,San Diego ...
1002,/reviews/5770.htm,Alma College,Alma
977,/reviews/6412.htm,Alvernia University,Reading
1011,/reviews/6863.htm,Alverno College,Milwaukee
1536,/reviews/6639.htm,Amberton University,Garland
1630,/reviews/7713.htm,American Baptist College,Nashville
1578,/reviews/5000.htm,American Film Institute Conservatory,Los Angeles
932,/reviews/5692.htm,American International College,Springfield
1144,/reviews/5155.htm,American Jewish University,Los Angeles ...
98,/reviews/5240.htm,American University,Washington
214,/reviews/5693.htm,Amherst College,Amherst
1278,/reviews/6535.htm,Anderson University,Anderson
938,/reviews/5480.htm,"Anderson University, Indiana",Anderson ...
463,/reviews/5771.htm,Andrews University,Berrien Springs
